currencyCode,unitPrice,location,effectiveStartDate,meterName,productName,serviceName,unitOfMeasure,type,reservationTerm,armSkuName,isPrimaryMeterRegion,CPU-cores
EUR,0.0272,DE North,2024-05-01T00:00:00Z,D2s v5 Spot,Virtual Machines Dsv5 Series Windows,Virtual Machines,1 Hour,Consumption,,Standard_D2s_v5,True,2.0
EUR,0.0169,DE North,2024-05-01T00:00:00Z,D2s v5 Spot,Virtual Machines Dsv5 Series Windows,Virtual Machines,1 Hour,DevTestConsumption,,Standard_D2s_v5,True,2.0
EUR,0.2171,DE North,2024-05-01T00:00:00Z,DC16s_v3 Spot,DCsv3 Series Windows,Virtual Machines,1 Hour,Consumption,,Standard_DC16s_v3,True,16.0
EUR,0.1344,DE North,2024-05-01T00:00:00Z,DC16s_v3 Spot,DCsv3 Series Windows,Virtual Machines,1 Hour,DevTestConsumption,,Standard_DC16s_v3,True,16.0
EUR,1.3726,DE North,2024-05-01T00:00:00Z,D96ads v5 Spot,Virtual Machines Dadsv5 Series Windows,Virtual Machines,1 Hour,Consumption,,Standard_D96ads_v5,True,96.0
EUR,0.8764,DE North,2024-05-01T00:00:00Z,D96ads v5 Spot,Virtual Machines Dadsv5 Series Windows,Virtual Machines,1 Hour,DevTestConsumption,,Standard_D96ads_v5,True,96.0
EUR,0.3446,DE West Central,2023-01-01T00:00:00Z,D4ps v5,Virtual Machines Dpsv5 Series Windows,Virtual Machines,1 Hour,Consumption,,Standard_D4ps_v5,True,4.0
EUR,0.1723,DE West Central,2023-01-01T00:00:00Z,D4ps v5,Virtual Machines Dpsv5 Series Windows,Virtual Machines,1 Hour,DevTestConsumption,,Standard_D4ps_v5,True,4.0
EUR,0.0096,DE West Central,2024-02-01T00:00:00Z,F1/F1s Spot,Virtual Machines F Series Windows,Virtual Machines,1 Hour,Consumption,,Standard_F1,True,1.0
EUR,0.0053,DE West Central,2023-09-01T00:00:00Z,F1/F1s Spot,Virtual Machines F Series Windows,Virtual Machines,1 Hour,DevTestConsumption,,Standard_F1,True,1.0
EUR,0.8165,DE West Central,2023-10-01T00:00:00Z,E104i v5 Spot,Virtual Machines Ev5 Series,Virtual Machines,1 Hour,Consumption,,Standard_E104i_v5,True,104.0
EUR,0.0107,DE West Central,2023-09-01T00:00:00Z,F2s Spot,Virtual Machines FS Series,Virtual Machines,1 Hour,Consumption,,Standard_F2s,True,2.0
